UserName,Password,Email,FullName,Birthday,CharacterName,CharacterAge,Health,XP,Copper,,,,,
tnatona,"gH6',dCcL~pgsf",tnatona@vistaprint.com,Matthieu Buick,2006-02-12,Torrey Naton,69,5,164,94,,,," (N'tnatona', N'gH6',dCcL~pgsf', N'tnatona@vistaprint.com',N'Matthieu Buick',N'2006-02-12',N'Torrey Naton',N'69',N'5',N'164',N'94'),",2006-02-12
tkhadirb,pI7`GK#7,tkhadirb@google.ca,Ryun Mityashev,1982-03-02,Temple Khadir,91,5,151,91,,,," (N'tkhadirb', N'pI7`GK#7', N'tkhadirb@google.ca',N'Ryun Mityashev',N'1982-03-02',N'Temple Khadir',N'91',N'5',N'151',N'91'),",1982-03-02
rwhitwhamc,jU3$gFG>iL)V,rwhitwhamc@domainmarket.com,Joycelin Spat,2018-04-07,Rube Whitwham,94,3,127,94,,,," (N'rwhitwhamc', N'jU3$gFG>iL)V', N'rwhitwhamc@domainmarket.com',N'Joycelin Spat',N'2018-04-07',N'Rube Whitwham',N'94',N'3',N'127',N'94'),",2018-04-07
jleftridged,vK9!Mdhz7#Yfj*s,jleftridged@skype.com,Thorpe Birtwistle,2003-01-14,Jess Leftridge,86,3,48,95,,,," (N'jleftridged', N'vK9!Mdhz7#Yfj*s', N'jleftridged@skype.com',N'Thorpe Birtwistle',N'2003-01-14',N'Jess Leftridge',N'86',N'3',N'48',N'95'),",2003-01-14
pschneidare,fL1.R#|7Q\,pschneidare@usda.gov,Bayard Eastam,2012-11-14,Prisca Schneidar,16,4,166,90,,,," (N'pschneidare', N'fL1.R#|7Q\', N'pschneidare@usda.gov',N'Bayard Eastam',N'2012-11-14',N'Prisca Schneidar',N'16',N'4',N'166',N'90'),",2012-11-14
dnowellf,zN7=s93!,dnowellf@elpais.com,Nicoli Bamborough,2009-03-26,Devlin Nowell,96,3,120,67,,,," (N'dnowellf', N'zN7=s93!', N'dnowellf@elpais.com',N'Nicoli Bamborough',N'2009-03-26',N'Devlin Nowell',N'96',N'3',N'120',N'67'),",2009-03-26
ldalgleishg,jO1!YjmBxK!JGZR!,ldalgleishg@japanpost.jp,Van Joddens,2009-08-13,Linette Dalgleish,15,7,38,99,,,," (N'ldalgleishg', N'jO1!YjmBxK!JGZR!', N'ldalgleishg@japanpost.jp',N'Van Joddens',N'2009-08-13',N'Linette Dalgleish',N'15',N'7',N'38',N'99'),",2009-08-13
syakovichh,"tJ2?Az9m5""2j##s",syakovichh@utexas.edu,Starr Pugsley,2004-03-02,Sigismond Yakovich,70,6,65,34,,,," (N'syakovichh', N'tJ2?Az9m5""2j##s', N'syakovichh@utexas.edu',N'Starr Pugsley',N'2004-03-02',N'Sigismond Yakovich',N'70',N'6',N'65',N'34'),",2004-03-02
jphetheani,"mA6<Wk,~&N=TX!3",jphetheani@people.com.cn,Legra Mudle,2003-01-08,Jareb Phethean,69,7,168,67,,,," (N'jphetheani', N'mA6<Wk,~&N=TX!3', N'jphetheani@people.com.cn',N'Legra Mudle',N'2003-01-08',N'Jareb Phethean',N'69',N'7',N'168',N'67'),",2003-01-08
nkiddyej,vP9}>PB%~,nkiddyej@cpanel.net,Corenda Oluwatoyin,2011-02-21,Nyssa Kiddye,39,7,72,53,,,," (N'nkiddyej', N'vP9}>PB%~', N'nkiddyej@cpanel.net',N'Corenda Oluwatoyin',N'2011-02-21',N'Nyssa Kiddye',N'39',N'7',N'72',N'53'),",2011-02-21
ncowdreyk,yO1((d{FYJ<AIg,ncowdreyk@t.co,Ladonna Merrigan,2001-10-26,Nani Cowdrey,64,6,53,4,,,," (N'ncowdreyk', N'yO1((d{FYJ<AIg', N'ncowdreyk@t.co',N'Ladonna Merrigan',N'2001-10-26',N'Nani Cowdrey',N'64',N'6',N'53',N'4'),",2001-10-26
sbrissendenl,hR8{pH%pSlr@G+8,sbrissendenl@globo.com,Lottie Wasson,1996-04-29,Sheppard Brissenden,81,6,96,33,,,," (N'sbrissendenl', N'hR8{pH%pSlr@G+8', N'sbrissendenl@globo.com',N'Lottie Wasson',N'1996-04-29',N'Sheppard Brissenden',N'81',N'6',N'96',N'33'),",1996-04-29
slewsym,hH5<\4!2UF#,slewsym@etsy.com,Darcy Earsman,1981-08-07,Skippie Lewsy,98,3,127,39,,,," (N'slewsym', N'hH5<\4!2UF#', N'slewsym@etsy.com',N'Darcy Earsman',N'1981-08-07',N'Skippie Lewsy',N'98',N'3',N'127',N'39'),",1981-08-07
ptannn,fR7*.qPd#I|P/,ptannn@telegraph.co.uk,Nari Larter,1990-04-23,Phillipe Tann,95,7,95,22,,,," (N'ptannn', N'fR7*.qPd#I|P/', N'ptannn@telegraph.co.uk',N'Nari Larter',N'1990-04-23',N'Phillipe Tann',N'95',N'7',N'95',N'22'),",1990-04-23
bmartinollio,hV5.`I{D%t>,bmartinollio@nationalgeographic.com,Karrie Fitch,2000-01-10,Barclay Martinolli,82,7,166,98,,,," (N'bmartinollio', N'hV5.`I{D%t>', N'bmartinollio@nationalgeographic.com',N'Karrie Fitch',N'2000-01-10',N'Barclay Martinolli',N'82',N'7',N'166',N'98'),",2000-01-10
egillicep,"hJ5?KYVOIGvD,y",egillicep@gizmodo.com,Tobye Gavan,1985-10-16,Ethan Gillice,79,6,158,88,,,," (N'egillicep', N'hJ5?KYVOIGvD,y', N'egillicep@gizmodo.com',N'Tobye Gavan',N'1985-10-16',N'Ethan Gillice',N'79',N'6',N'158',N'88'),",1985-10-16
ekestleq,kB1{/M{1e+pJU$V>,ekestleq@ovh.net,Dominica Volante,1994-10-24,Early Kestle,42,4,77,32,,,," (N'ekestleq', N'kB1{/M{1e+pJU$V>', N'ekestleq@ovh.net',N'Dominica Volante',N'1994-10-24',N'Early Kestle',N'42',N'4',N'77',N'32'),",1994-10-24
dwardenr,qH5@ouh`wW,dwardenr@bandcamp.com,Hermie Kubek,2004-09-18,Donnie Warden,23,6,139,88,,,," (N'dwardenr', N'qH5@ouh`wW', N'dwardenr@bandcamp.com',N'Hermie Kubek',N'2004-09-18',N'Donnie Warden',N'23',N'6',N'139',N'88'),",2004-09-18
sternes,eV4?tYB#,sternes@npr.org,Giavani Sysland,2012-10-27,Silvano Terne,83,7,184,77,,,," (N'sternes', N'eV4?tYB#', N'sternes@npr.org',N'Giavani Sysland',N'2012-10-27',N'Silvano Terne',N'83',N'7',N'184',N'77'),",2012-10-27
chalwellt,iY9?e3GG/K9bN$,chalwellt@techcrunch.com,Philippa Echallier,1984-11-01,Carter Halwell,4,8,184,5,,,," (N'chalwellt', N'iY9?e3GG/K9bN$', N'chalwellt@techcrunch.com',N'Philippa Echallier',N'1984-11-01',N'Carter Halwell',N'4',N'8',N'184',N'5'),",1984-11-01
atrippacku,yR6>Uvz\J`sM,atrippacku@hc360.com,Alfreda Borrie,1987-02-18,Anthe Trippack,95,3,163,6,,,," (N'atrippacku', N'yR6>Uvz\J`sM', N'atrippacku@hc360.com',N'Alfreda Borrie',N'1987-02-18',N'Anthe Trippack',N'95',N'3',N'163',N'6'),",1987-02-18
hdriversv,vY8|'T1HO|WKt,hdriversv@umn.edu,Wilek Cashin,1994-03-22,Heidie Drivers,89,6,52,49,,,," (N'hdriversv', N'vY8|'T1HO|WKt', N'hdriversv@umn.edu',N'Wilek Cashin',N'1994-03-22',N'Heidie Drivers',N'89',N'6',N'52',N'49'),",1994-03-22
sbremmellw,uM8%0M<&8|`<'HK,sbremmellw@i2i.jp,Leah Twohig,2017-02-10,Sofia Bremmell,61,3,69,72,,,," (N'sbremmellw', N'uM8%0M<&8|`<'HK', N'sbremmellw@i2i.jp',N'Leah Twohig',N'2017-02-10',N'Sofia Bremmell',N'61',N'3',N'69',N'72'),",2017-02-10
dbantonx,lA0_<L9faqZ,dbantonx@yellowpages.com,Ardis Mannock,2004-08-08,Deni Banton,23,8,131,80,,,," (N'dbantonx', N'lA0_<L9faqZ', N'dbantonx@yellowpages.com',N'Ardis Mannock',N'2004-08-08',N'Deni Banton',N'23',N'8',N'131',N'80'),",2004-08-08
bharrismithy,eZ8}|=M$I*x6,bharrismithy@opensource.org,Kiah Weond,1994-06-13,Bessy Harrismith,78,4,176,45,,,," (N'bharrismithy', N'eZ8}|=M$I*x6', N'bharrismithy@opensource.org',N'Kiah Weond',N'1994-06-13',N'Bessy Harrismith',N'78',N'4',N'176',N'45'),",1994-06-13
acicceralez,sH3'sV83~jU8s,acicceralez@auda.org.au,Bailey Houlworth,2017-12-14,Alleen Ciccerale,99,7,47,97,,,," (N'acicceralez', N'sH3'sV83~jU8s', N'acicceralez@auda.org.au',N'Bailey Houlworth',N'2017-12-14',N'Alleen Ciccerale',N'99',N'7',N'47',N'97'),",2017-12-14
grawlcliffe10,"dD9_UV,Kp4f'8T+!",grawlcliffe10@shinystat.com,Mareah Denial,2005-07-12,Galvin Rawlcliffe,81,5,68,40,,,," (N'grawlcliffe10', N'dD9_UV,Kp4f'8T+!', N'grawlcliffe10@shinystat.com',N'Mareah Denial',N'2005-07-12',N'Galvin Rawlcliffe',N'81',N'5',N'68',N'40'),",2005-07-12
dcarlow11,"eK3'9?_N4""9@%",dcarlow11@a8.net,Early Dowdell,1987-02-19,Doro Carlow,30,7,149,77,,,," (N'dcarlow11', N'eK3'9?_N4""9@%', N'dcarlow11@a8.net',N'Early Dowdell',N'1987-02-19',N'Doro Carlow',N'30',N'7',N'149',N'77'),",1987-02-19
eskeffington12,"mM4""M8Ve<'n`_",eskeffington12@yandex.ru,Sherry Picopp,2002-02-13,Emmanuel Skeffington,72,4,69,2,,,," (N'eskeffington12', N'mM4""M8Ve<'n`_', N'eskeffington12@yandex.ru',N'Sherry Picopp',N'2002-02-13',N'Emmanuel Skeffington',N'72',N'4',N'69',N'2'),",2002-02-13
btuley13,yX7.goH+XnY,btuley13@twitpic.com,Benny Dobney,2016-04-08,Byram Tuley,53,8,70,54,,,," (N'btuley13', N'yX7.goH+XnY', N'btuley13@twitpic.com',N'Benny Dobney',N'2016-04-08',N'Byram Tuley',N'53',N'8',N'70',N'54'),",2016-04-08
gebden14,eH5!!xDOj,gebden14@google.de,Sean Osgood,1996-02-28,Gilligan Ebden,58,5,22,34,,,," (N'gebden14', N'eH5!!xDOj', N'gebden14@google.de',N'Sean Osgood',N'1996-02-28',N'Gilligan Ebden',N'58',N'5',N'22',N'34'),",1996-02-28
phemshall15,"iB7,C#vQ4VGVK2tE",phemshall15@i2i.jp,Tedman Blaine,1991-10-15,Pier Hemshall,97,8,139,81,,,," (N'phemshall15', N'iB7,C#vQ4VGVK2tE', N'phemshall15@i2i.jp',N'Tedman Blaine',N'1991-10-15',N'Pier Hemshall',N'97',N'8',N'139',N'81'),",1991-10-15
thunnam16,iS2~D{'~(n3\I,thunnam16@google.fr,Gregory Twopenny,1983-12-28,Thedric Hunnam,46,8,195,73,,,," (N'thunnam16', N'iS2~D{'~(n3\I', N'thunnam16@google.fr',N'Gregory Twopenny',N'1983-12-28',N'Thedric Hunnam',N'46',N'8',N'195',N'73'),",1983-12-28
jaddionisio17,jX7.lFKo,jaddionisio17@a8.net,Kendell Huntress,1984-01-02,Johny Addionisio,25,6,71,68,,,," (N'jaddionisio17', N'jX7.lFKo', N'jaddionisio17@a8.net',N'Kendell Huntress',N'1984-01-02',N'Johny Addionisio',N'25',N'6',N'71',N'68'),",1984-01-02
lshenton18,yL5#zU1*U(Z`axY0,lshenton18@bloglines.com,Malvin Brydone,2012-08-18,Lyndy Shenton,51,5,147,4,,,," (N'lshenton18', N'yL5#zU1*U(Z`axY0', N'lshenton18@bloglines.com',N'Malvin Brydone',N'2012-08-18',N'Lyndy Shenton',N'51',N'5',N'147',N'4'),",2012-08-18
sashe19,"cW8@yG0""l0M",sashe19@parallels.com,Mara Eliff,2004-05-20,Salim Ashe,27,8,141,29,,,," (N'sashe19', N'cW8@yG0""l0M', N'sashe19@parallels.com',N'Mara Eliff',N'2004-05-20',N'Salim Ashe',N'27',N'8',N'141',N'29'),",2004-05-20
tchurchman1a,mK9>Ab('p,tchurchman1a@berkeley.edu,Carin Grimsdyke,2005-06-24,Terri Churchman,35,3,61,60,,,," (N'tchurchman1a', N'mK9>Ab('p', N'tchurchman1a@berkeley.edu',N'Carin Grimsdyke',N'2005-06-24',N'Terri Churchman',N'35',N'3',N'61',N'60'),",2005-06-24
hgurg1b,dL4$arUtaqk$W2JR,hgurg1b@nature.com,Buckie O'Rourke,2009-10-24,Harwell Gurg,33,4,67,28,,,," (N'hgurg1b', N'dL4$arUtaqk$W2JR', N'hgurg1b@nature.com',N'Buckie O'Rourke',N'2009-10-24',N'Harwell Gurg',N'33',N'4',N'67',N'28'),",2009-10-24
astollenwerck1c,xT6+_$~'6Z,astollenwerck1c@aboutads.info,Bail Boodle,2008-10-06,Akim Stollenwerck,29,3,114,99,,,," (N'astollenwerck1c', N'xT6+_$~'6Z', N'astollenwerck1c@aboutads.info',N'Bail Boodle',N'2008-10-06',N'Akim Stollenwerck',N'29',N'3',N'114',N'99'),",2008-10-06
rcarlisso1d,nR9&f1``oAQy8v|,rcarlisso1d@globo.com,Gwendolyn Ballinghall,1983-01-27,Rayshell Carlisso,26,6,90,74,,,," (N'rcarlisso1d', N'nR9&f1``oAQy8v|', N'rcarlisso1d@globo.com',N'Gwendolyn Ballinghall',N'1983-01-27',N'Rayshell Carlisso',N'26',N'6',N'90',N'74'),",1983-01-27
cdroghan1e,lU3/A|>sQkW8,cdroghan1e@wunderground.com,Roana Defont,2008-12-26,Cristen Droghan,1,4,89,45,,,," (N'cdroghan1e', N'lU3/A|>sQkW8', N'cdroghan1e@wunderground.com',N'Roana Defont',N'2008-12-26',N'Cristen Droghan',N'1',N'4',N'89',N'45'),",2008-12-26
yfavill1f,pI0~`|'x)u,yfavill1f@webs.com,Becki Cavan,1983-10-17,Ysabel Favill,43,8,113,98,,,," (N'yfavill1f', N'pI0~`|'x)u', N'yfavill1f@webs.com',N'Becki Cavan',N'1983-10-17',N'Ysabel Favill',N'43',N'8',N'113',N'98'),",1983-10-17
nbransom1g,"oR9|{UjU,u""&",nbransom1g@tinyurl.com,Sisely Tew,1983-07-24,Nisse Bransom,44,6,62,77,,,," (N'nbransom1g', N'oR9|{UjU,u""&', N'nbransom1g@tinyurl.com',N'Sisely Tew',N'1983-07-24',N'Nisse Bransom',N'44',N'6',N'62',N'77'),",1983-07-24
rmcgrae1h,mU7|qjgO<,rmcgrae1h@hp.com,Pete Bengtsen,1992-06-16,Rick McGrae,20,4,37,29,,,," (N'rmcgrae1h', N'mU7|qjgO<', N'rmcgrae1h@hp.com',N'Pete Bengtsen',N'1992-06-16',N'Rick McGrae',N'20',N'4',N'37',N'29'),",1992-06-16
bdrayson1i,uE7)fb#sI<gcmf<,bdrayson1i@ovh.net,Burke Terbruggen,2017-08-22,Bartolomeo Drayson,15,6,101,57,,,," (N'bdrayson1i', N'uE7)fb#sI<gcmf<', N'bdrayson1i@ovh.net',N'Burke Terbruggen',N'2017-08-22',N'Bartolomeo Drayson',N'15',N'6',N'101',N'57'),",2017-08-22
lkingsman1j,"hK1""~uFr",lkingsman1j@taobao.com,Robby Cranton,1998-06-01,Lavena Kingsman,67,3,151,22,,,," (N'lkingsman1j', N'hK1""~uFr', N'lkingsman1j@taobao.com',N'Robby Cranton',N'1998-06-01',N'Lavena Kingsman',N'67',N'3',N'151',N'22'),",1998-06-01
hceaser1k,zF1|C+6bG,hceaser1k@creativecommons.org,Waly Platts,1998-05-12,Hunfredo Ceaser,83,5,149,97,,,," (N'hceaser1k', N'zF1|C+6bG', N'hceaser1k@creativecommons.org',N'Waly Platts',N'1998-05-12',N'Hunfredo Ceaser',N'83',N'5',N'149',N'97'),",1998-05-12
hsizeland1l,"gP8},&K#",hsizeland1l@bloglines.com,Pasquale Grumley,2014-08-08,Hobard Sizeland,16,7,132,37,,,," (N'hsizeland1l', N'gP8},&K#', N'hsizeland1l@bloglines.com',N'Pasquale Grumley',N'2014-08-08',N'Hobard Sizeland',N'16',N'7',N'132',N'37'),",2014-08-08
nmanilo1m,yO1*L2>_/0Ef,nmanilo1m@yellowpages.com,Michelle Frosch,1996-10-27,Nefen Manilo,46,3,17,98,,,," (N'nmanilo1m', N'yO1*L2>_/0Ef', N'nmanilo1m@yellowpages.com',N'Michelle Frosch',N'1996-10-27',N'Nefen Manilo',N'46',N'3',N'17',N'98'),",1996-10-27
mpeete1n,uI2$AlYwQSI\~tk,mpeete1n@cnet.com,Burty Abden,2007-07-24,Marylinda Peete,76,7,19,1,,,," (N'mpeete1n', N'uI2$AlYwQSI\~tk', N'mpeete1n@cnet.com',N'Burty Abden',N'2007-07-24',N'Marylinda Peete',N'76',N'7',N'19',N'1'),",2007-07-24
tatty1o,yS6(1*gjGJ,tatty1o@geocities.jp,Vinita Pepon,2017-10-17,Tonie Atty,57,7,159,64,,,," (N'tatty1o', N'yS6(1*gjGJ', N'tatty1o@geocities.jp',N'Vinita Pepon',N'2017-10-17',N'Tonie Atty',N'57',N'7',N'159',N'64'),",2017-10-17
bboustred1p,"fT2%B5""?Jn",bboustred1p@hp.com,Fransisco Jencey,2012-05-16,Brinna Boustred,77,8,68,19,,,," (N'bboustred1p', N'fT2%B5""?Jn', N'bboustred1p@hp.com',N'Fransisco Jencey',N'2012-05-16',N'Brinna Boustred',N'77',N'8',N'68',N'19'),",2012-05-16
ltonbye1q,gT9'$1x2kmBt@S(3,ltonbye1q@yahoo.co.jp,Dominic Tytcomb,2003-06-10,Lilith Tonbye,5,6,41,61,,,," (N'ltonbye1q', N'gT9'$1x2kmBt@S(3', N'ltonbye1q@yahoo.co.jp',N'Dominic Tytcomb',N'2003-06-10',N'Lilith Tonbye',N'5',N'6',N'41',N'61'),",2003-06-10
bpavlenkov1r,"nZ0""AA@,vR8<",bpavlenkov1r@uol.com.br,Roley Grotty,2010-12-20,Bertie Pavlenkov,5,4,80,31,,,," (N'bpavlenkov1r', N'nZ0""AA@,vR8<', N'bpavlenkov1r@uol.com.br',N'Roley Grotty',N'2010-12-20',N'Bertie Pavlenkov',N'5',N'4',N'80',N'31'),",2010-12-20
hshaughnessy1s,zQ1`d3T_|}Ig,hshaughnessy1s@imgur.com,Dodie Cappel,2012-11-07,Hetty Shaughnessy,45,7,76,42,,,," (N'hshaughnessy1s', N'zQ1`d3T_|}Ig', N'hshaughnessy1s@imgur.com',N'Dodie Cappel',N'2012-11-07',N'Hetty Shaughnessy',N'45',N'7',N'76',N'42'),",2012-11-07
kjiranek1t,bH6{m(!F#w8lC,kjiranek1t@github.com,Kacy O'Kynsillaghe,2010-08-28,Karel Jiranek,26,7,74,5,,,," (N'kjiranek1t', N'bH6{m(!F#w8lC', N'kjiranek1t@github.com',N'Kacy O'Kynsillaghe',N'2010-08-28',N'Karel Jiranek',N'26',N'7',N'74',N'5'),",2010-08-28
mguillotin1u,lL6*3dC7XsM<K,mguillotin1u@symantec.com,Chryste Gosker,1991-12-29,Minerva Guillotin,59,4,178,82,,,," (N'mguillotin1u', N'lL6*3dC7XsM<K', N'mguillotin1u@symantec.com',N'Chryste Gosker',N'1991-12-29',N'Minerva Guillotin',N'59',N'4',N'178',N'82'),",1991-12-29
ovasilkov1v,lU4%1eKRPhb5z%Bw,ovasilkov1v@jiathis.com,Milty Cousen,1998-02-04,Oliviero Vasilkov,36,8,73,6,,,," (N'ovasilkov1v', N'lU4%1eKRPhb5z%Bw', N'ovasilkov1v@jiathis.com',N'Milty Cousen',N'1998-02-04',N'Oliviero Vasilkov',N'36',N'8',N'73',N'6'),",1998-02-04
sraeside1w,"mE2}AnB9,#}7|e",sraeside1w@geocities.jp,Izaak Ahren,1996-05-28,Sayers Raeside,99,6,165,99,,,," (N'sraeside1w', N'mE2}AnB9,#}7|e', N'sraeside1w@geocities.jp',N'Izaak Ahren',N'1996-05-28',N'Sayers Raeside',N'99',N'6',N'165',N'99'),",1996-05-28
moduggan1x,uD3`CF>p*u,moduggan1x@prnewswire.com,Kaleena Aleksandrov,1986-04-20,Marilee O'Duggan,69,3,155,59,,,," (N'moduggan1x', N'uD3`CF>p*u', N'moduggan1x@prnewswire.com',N'Kaleena Aleksandrov',N'1986-04-20',N'Marilee O'Duggan',N'69',N'3',N'155',N'59'),",1986-04-20
klouthe1y,"iY0,j~Za)hZQm",klouthe1y@prweb.com,Rafaelita Ottley,2001-12-06,Kassandra Louthe,2,6,133,2,,,," (N'klouthe1y', N'iY0,j~Za)hZQm', N'klouthe1y@prweb.com',N'Rafaelita Ottley',N'2001-12-06',N'Kassandra Louthe',N'2',N'6',N'133',N'2'),",2001-12-06
jdemeza1z,wS5.6l$J,jdemeza1z@wordpress.org,Karoly Deeble,2011-06-25,Jannel Demeza,40,5,109,38,,,," (N'jdemeza1z', N'wS5.6l$J', N'jdemeza1z@wordpress.org',N'Karoly Deeble',N'2011-06-25',N'Jannel Demeza',N'40',N'5',N'109',N'38'),",2011-06-25
fknewstub20,fK7#jaDM>svnua`f,fknewstub20@live.com,Dari Bysshe,2007-11-26,Field Knewstub,44,3,69,9,,,," (N'fknewstub20', N'fK7#jaDM>svnua`f', N'fknewstub20@live.com',N'Dari Bysshe',N'2007-11-26',N'Field Knewstub',N'44',N'3',N'69',N'9'),",2007-11-26
njoliffe21,"dH7{HUs""",njoliffe21@lulu.com,Maggi Bolingbroke,1999-02-03,Norton Joliffe,35,3,30,53,,,," (N'njoliffe21', N'dH7{HUs""', N'njoliffe21@lulu.com',N'Maggi Bolingbroke',N'1999-02-03',N'Norton Joliffe',N'35',N'3',N'30',N'53'),",1999-02-03
mskillicorn22,vP1@m}2t%uG,mskillicorn22@unblog.fr,Maribeth Crimin,1981-08-26,Marshall Skillicorn,76,4,42,23,,,," (N'mskillicorn22', N'vP1@m}2t%uG', N'mskillicorn22@unblog.fr',N'Maribeth Crimin',N'1981-08-26',N'Marshall Skillicorn',N'76',N'4',N'42',N'23'),",1981-08-26
mbrentnall23,"zU3',>U>nmm",mbrentnall23@cbsnews.com,Mort Bexon,2001-06-17,Maribeth Brentnall,63,3,138,73,,,," (N'mbrentnall23', N'zU3',>U>nmm', N'mbrentnall23@cbsnews.com',N'Mort Bexon',N'2001-06-17',N'Maribeth Brentnall',N'63',N'3',N'138',N'73'),",2001-06-17
dhendrich24,eM1$W8l7eO@9z'8,dhendrich24@rakuten.co.jp,Sharyl Somerfield,1985-01-18,Dolores Hendrich,2,5,68,88,,,," (N'dhendrich24', N'eM1$W8l7eO@9z'8', N'dhendrich24@rakuten.co.jp',N'Sharyl Somerfield',N'1985-01-18',N'Dolores Hendrich',N'2',N'5',N'68',N'88'),",1985-01-18
fmerkel25,iR9.a.O7|.,fmerkel25@chronoengine.com,Viviyan Hawton,2012-09-07,Flor Merkel,4,7,115,85,,,," (N'fmerkel25', N'iR9.a.O7|.', N'fmerkel25@chronoengine.com',N'Viviyan Hawton',N'2012-09-07',N'Flor Merkel',N'4',N'7',N'115',N'85'),",2012-09-07
pde26,"jX3*6cA4bum=,M",pde26@ezinearticles.com,Conan Mitie,1997-01-25,Padraic De Cristoforo,58,7,125,86,,,," (N'pde26', N'jX3*6cA4bum=,M', N'pde26@ezinearticles.com',N'Conan Mitie',N'1997-01-25',N'Padraic De Cristoforo',N'58',N'7',N'125',N'86'),",1997-01-25
afrise27,vG0~32EW,afrise27@youku.com,Scarface Crosgrove,1996-11-09,Aloise Frise,41,4,197,95,,,," (N'afrise27', N'vG0~32EW', N'afrise27@youku.com',N'Scarface Crosgrove',N'1996-11-09',N'Aloise Frise',N'41',N'4',N'197',N'95'),",1996-11-09
fnoor28,dB5%.{72N,fnoor28@techcrunch.com,Morgen Drew,2004-09-11,Fancy Noor,19,8,65,82,,,," (N'fnoor28', N'dB5%.{72N', N'fnoor28@techcrunch.com',N'Morgen Drew',N'2004-09-11',N'Fancy Noor',N'19',N'8',N'65',N'82'),",2004-09-11
gfelmingham29,wS7+Qi#kkmG,gfelmingham29@123-reg.co.uk,Rudyard Segge,1980-04-11,Garik Felmingham,82,6,71,76,,,," (N'gfelmingham29', N'wS7+Qi#kkmG', N'gfelmingham29@123-reg.co.uk',N'Rudyard Segge',N'1980-04-11',N'Garik Felmingham',N'82',N'6',N'71',N'76'),",1980-04-11
